年月日,日報酬率 %
2020/04/27,2.1253
2020/04/24,-0.1847
2020/04/23,0.5702
2020/04/22,0.1878
2020/04/21,-2.8176
2020/04/20,-0.0975
2020/04/17,2.1354
2020/04/16,-0.6866
2020/04/15,1.1059
2020/04/14,2.3142
2020/04/13,-0.5748
2020/04/10,0.3773
2020/04/09,-0.178
2020/04/08,1.4113
2020/04/07,1.8093
2020/04/06,1.6051
2020/04/01,-0.4577
2020/03/31,0.8166
2020/03/30,-0.7165
2020/03/27,-0.3845
2020/03/26,0.9498
2020/03/25,3.8676
2020/03/24,4.4498
2020/03/23,-3.726
2020/03/20,6.3671
2020/03/19,-5.8287
2020/03/18,-2.3408
2020/03/17,-2.8622
2020/03/16,-4.0587
2020/03/13,-2.8156
2020/03/12,-4.3275
